,retail_price,article_text_length,article_word_count,title_length,title_word_count,avg_word_length
count,279.0,297.0,297.0,297.0,297.0,297.0
mean,3429.35,12821.92,2241.33,55.59,9.36,4.41
std,3712.16,5867.47,1024.84,14.94,2.65,0.11
min,7.99,1190.0,200.0,23.0,4.0,4.14
25%,292.0,7822.0,1364.0,46.0,7.0,4.34
50%,1250.0,11364.0,1972.0,55.0,9.0,4.41
75%,6556.5,17467.0,3063.0,66.0,11.0,4.48
max,14999.0,31974.0,5611.0,113.0,18.0,4.78
