product_subcategory,count
Enduro Bike,136
Downhill Bike,49
Helmet,32
Trail Bike,16
E-Bike,15
Suspension Fork,6
Tire,6
XC Bike,5
Rear Shock,5
Pedal,5
Crankset,5
Knee Pads,4
Wheelset,4
Brake,4
Gravel Bike,3
Drivetrain,1
Hardtail,1
