publish_month,count
2017-11,1
2023-07,4
2023-08,11
2023-09,10
2023-10,6
2023-11,13
2023-12,5
2024-01,11
2024-02,11
2024-03,10
2024-04,8
2024-05,16
2024-06,17
2024-07,10
2024-08,14
2024-09,3
2024-10,9
2024-11,9
2024-12,7
2025-01,9
2025-02,4
2025-03,11
2025-04,8
2025-05,5
2025-06,10
2025-07,4
2025-08,5
2025-09,8
2025-10,6
2025-11,8
2025-12,1
2026-01,6
2026-02,4
2026-03,18
2026-04,3
2026-05,5
2026-06,6
2026-07,1
