evaluation_type,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,cohen_kappa,roc_auc,article_count
Three Class,0.7840531561461794,0.3277777777777778,0.2648709315375982,0.3277777777777778,0.2929857231533209,0.6335783079969127,0.7840531561461794,0.7008296367787078,-0.01283843246880978,,301
Binary,0.7840531561461794,0.49166666666666664,0.39730639730639733,0.49166666666666664,0.43947858472998136,0.6335783079969127,0.7840531561461794,0.7008296367787078,-0.02558054201394344,0.5491803278688525,301
