class,precision,recall,f1-score,support
Negative,0.0,0.0,0.0,1.0
Mixed,0.2029520295202952,0.9166666666666666,0.3323262839879154,60.0
Positive,0.8333333333333334,0.10416666666666667,0.18518518518518517,240.0
accuracy,0.26578073089701,0.26578073089701,0.26578073089701,0.26578073089701
macro avg,0.3454284542845429,0.34027777777777773,0.1725038230577002,301.0
weighted avg,0.7049073812997266,0.26578073089701,0.21390040360039655,301.0
