class,precision,recall,f1-score,support
Not Positive,0.0,0.0,0.0,61.0
Positive,0.7946127946127947,0.9833333333333333,0.8789571694599627,240.0
accuracy,0.7840531561461794,0.7840531561461794,0.7840531561461794,0.7840531561461794
macro avg,0.39730639730639733,0.49166666666666664,0.43947858472998136,301.0
weighted avg,0.6335783079969127,0.7840531561461794,0.7008296367787078,301.0
