class,precision,recall,f1-score,support
Not Positive,0.20437956204379562,0.9180327868852459,0.33432835820895523,61.0
Positive,0.8148148148148148,0.09166666666666666,0.1647940074906367,240.0
accuracy,0.2591362126245847,0.2591362126245847,0.2591362126245847,0.2591362126245847
macro avg,0.5095971884293052,0.5048497267759563,0.24956118284979595,301.0
weighted avg,0.6911053449841431,0.2591362126245847,0.19915146727076102,301.0
