class,precision,recall,f1-score,support
Not Positive,0.2066420664206642,0.9180327868852459,0.3373493975903614,61.0
Positive,0.8333333333333334,0.10416666666666667,0.18518518518518517,240.0
accuracy,0.2691029900332226,0.2691029900332226,0.2691029900332226,0.2691029900332226
macro avg,0.5199876998769988,0.5110997267759563,0.26126729138777327,301.0
weighted avg,0.7063294553211313,0.2691029900332226,0.21602245082211458,301.0
