class,precision,recall,f1-score,support
Negative,0.0,0.0,0.0,1.0
Mixed,0.0,0.0,0.0,60.0
Positive,0.7946127946127947,0.9833333333333333,0.8789571694599627,240.0
accuracy,0.7840531561461794,0.7840531561461794,0.7840531561461794,0.7840531561461794
macro avg,0.2648709315375982,0.3277777777777778,0.2929857231533209,301.0
weighted avg,0.6335783079969127,0.7840531561461794,0.7008296367787078,301.0
