model,evaluation_type,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,cohen_kappa,roc_auc,article_count
Transformer,Three Class,0.2558139534883721,0.3361111111111111,0.33851491394070465,0.3361111111111111,0.16471177495196873,0.6896988411162575,0.2558139534883721,0.19704664730787036,0.0037972252183035016,,301
Transformer,Binary,0.2591362126245847,0.5048497267759563,0.5095971884293052,0.5048497267759563,0.24956118284979595,0.6911053449841431,0.2591362126245847,0.19915146727076102,0.004213212277656697,0.5681693989071038,301
