model,evaluation_type,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,cohen_kappa,roc_auc,article_count
Transformer Majority Vote,Three Class,0.26578073089701,0.34027777777777773,0.3454284542845429,0.34027777777777773,0.1725038230577002,0.7049073812997266,0.26578073089701,0.21390040360039655,0.009234297969943905,,301
Transformer Majority Vote,Binary,0.2691029900332226,0.5110997267759563,0.5199876998769988,0.5110997267759563,0.26126729138777327,0.7063294553211313,0.2691029900332226,0.21602245082211458,0.009720352923583198,0.5576844262295082,301
