class,precision,recall,f1-score,support
Negative,0.0,0.0,0.0,1.0
Mixed,0.20072992700729927,0.9166666666666666,0.32934131736526945,60.0
Positive,0.8148148148148148,0.09166666666666666,0.1647940074906367,240.0
accuracy,0.2558139534883721,0.2558139534883721,0.2558139534883721,0.2558139534883721
macro avg,0.33851491394070465,0.3361111111111111,0.16471177495196873,301.0
weighted avg,0.6896988411162575,0.2558139534883721,0.19704664730787036,301.0
