class,precision,recall,f1-score,support
Not Positive,0.2857142857142857,0.5,0.36363636363636365,12.0
Positive,0.85,0.6938775510204082,0.7640449438202247,49.0
accuracy,0.6557377049180327,0.6557377049180327,0.6557377049180327,0.6557377049180327
macro avg,0.5678571428571428,0.596938775510204,0.5638406537282942,61.0
weighted avg,0.7389929742388759,0.6557377049180327,0.6852760428004487,61.0
